GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
interop-transaction-engine,com.comviva.interop.txnengine.model,PendingTransactionRequest,37,31,0,0,4,9,5,5,5,5
interop-transaction-engine,com.comviva.interop.txnengine.model,OrangeMoneyTechnicalAccounts,4,30,0,0,0,5,1,5,1,5
interop-transaction-engine,com.comviva.interop.txnengine.model,ConfirmTransactionRequest.ActionEnum,0,67,0,4,0,12,0,7,0,5
interop-transaction-engine,com.comviva.interop.txnengine.model,CustomAuthenticationExceptionHandler,12,117,4,4,0,22,4,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.model,TxnCorrection,75,79,0,0,1,14,3,23,3,23
interop-transaction-engine,com.comviva.interop.txnengine.model,PendingTransactions.ServiceTypeEnum,29,27,4,0,5,6,4,3,2,3
interop-transaction-engine,com.comviva.interop.txnengine.model,BaseReceiveTransaction,0,115,0,0,0,18,0,33,0,33
interop-transaction-engine,com.comviva.interop.txnengine.model,ConfirmTransactionRequest,0,41,0,0,0,7,0,10,0,10
interop-transaction-engine,com.comviva.interop.txnengine,InteropTransactionEngineApplication,0,8,0,0,0,3,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.strategies,FinancialServicesMap,0,42,0,0,0,9,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.strategies,ExecutableServicesMap,0,22,0,0,0,5,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.strategies,ExecutableServicesMapper,0,43,0,0,0,11,0,3,0,3
